id,sentence1,sentence2,labels,source
6b4f812b-e71b-4b52-aeef-905374b0eb67,"No charges have been filed in those deaths, but prosecutor David Lupas said authorities were making progress in the case.","No charges have been filed in those deaths, but Luzerne County District Attorney David Lupas said authorities were ""continuing to make significant progress"" in the case.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",orig
7cc3cd28-79f7-4cfb-a83d-3ceccb8059f2,"His mother contacted the Federal Public Defender's office in Sacramento, which has agreed to handle his surrender, she says.",His family approached the federal defender's office in Sacramento Friday about arranging his surrender.,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",orig
c5148c50-6df1-4622-abe8-f1cebfbfd339,Mr. Young said he was disappointed that the government didn't see the severe acute respiratory syndrome crisis as worthy of federal disaster-relief money.,Young said he was disappointed the government didn't see the SARS crisis as worthy of federal disaster relief money.,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",orig
55e90cef-1745-4884-9056-70ceb8e34ba2,His dissent was joined by Chief Justice William H. Rehnquist and Justice Clarence Thomas.,Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas dissented.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",orig
87da9a0a-7fef-46ed-b3e5-d84f774b25cc,But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.,"China is scrambling to stop the disease from spreading to the countryside, where most of its 1.3 billion people live.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",orig
66b55250-07ea-42a8-8968-14739a01c5c5,"The other 18 people inside the building - two visitors and 16 employees, including Harrison's ex-girlfriend - escaped without injury, Aaron said.","The other 18 people in the building, including Harrison's ex-girlfriend, were not injured, police spokesman Don Aaron said.","[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",orig
097c2a96-756a-4d7a-b56a-bf3a43da233a,The acquisition has been approved by both companies' board of directors and is expected to close in the third quarter this year.,"Nvidia's acquisition has been approved by directors at both companies, and is expected to close in the Nvidia's third quarter of fiscal 2004.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0]",orig
ab59f8a1-2472-44c2-875b-075ea26484eb,"The man, Fazul Abdullah Mohammed, a Comoros islander, is on the U.S. FBI's list of most wanted suspects.","A Comoros islander, he is on the United States' list of most wanted suspects.","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",orig
4838a3dc-52b4-4ef7-b2c4-69ac474836f9,"Mr. Bremer said Iran continued to interfere in fledgling political reconstruction, including Tehran s intelligence service.","Mr. Bremer said that Iran, including its intelligence service, continued to interfere in fledgling political reconstruction.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",orig
800f9b2d-7a55-47b5-aa4d-bb644e036f88,"Dr. Sutherland, 65, was a co-founder of Evans  Sutherland, an early maker of high-performance computers.","Sutherland is the 65-year-old computing pioneer who co-founded Evans  Sutherland, which made high-performance graphics computers.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",orig
dd0c8355-d305-42da-81e6-acc735bb832f,"A 114-year-old Japanese woman who had assumed the title of the world's oldest person last month died Thursday, a spokesperson for Hiroshima city said.","A 114-year-old Japanese woman who just weeks ago assumed the title of the world's oldest person died today, a Hiroshima official said.","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",orig
46eae367-7ba1-461e-b10d-abd4a9f2105e,Investigations by the Air Force inspector general and the Defense Department also are under way.,The Air Force inspector general and the Pentagon also are investigating.,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",orig
7dead460-c9f4-4001-b12a-d6ba8d146837,"Gartner raised its own worldwide PC shipment forecast in August to 8.9 per cent growth for 2003, up from expectations of 7.2 per cent.","Gartner Inc. also raised its worldwide PC shipment forecast in August to 8.9 percent growth for 2003, up from expectations of 7.2 percent.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
b18235a9-6a61-463d-b286-1aa66e8ddeb5,"In Toronto, police said they arrested 38 people and reported 114 incidents, mostly for looting and other thefts.","Toronto police made 38 arrests linked to the blackout and reported 114 incidents, mostly for looting and other thefts, said Constable Mike Hayles.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
19388c51-0448-4fe8-a29f-785437462cb3,"Her lawyers filed a lawsuit against the Dallas County district attorney, Henry Wade, challenging Texas's abortion laws.","In 1969, Ms. McCorvey's attorneys filed suit against Dallas County District Attorney Henry Wade challenging the state's abortion laws.","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
500486cf-c5f9-40c6-99c5-9bc3f9d74a81,"Sen. Michael Crapo, R-Idaho, chairman of the subcommittee that will consider the nomination, is a longtime friend.","And Sen. Michael Crapo, R-Idaho, chairman of the subcommittee that first will take up the nomination, is a longtime friend of Kempthorne's.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
b2c9a6a9-9121-4f3b-b65a-f0f5e45c91bb,"Then they moved inside the mosque and started firing on the people,'' he told the Associated Press.","""Then they moved inside the mosque and started firing on the people.""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",orig
2f675e0d-f96c-4af3-ae50-934be1174aa8,"""While the rest of America grapples with an economic downturn, recession has become a permanent way of life for much of rural America,"" Edwards said in a speech.","""While the rest of America grapples with an economic downturn, recession has become a permanent way of life for much of rural America.""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
5b28d0e2-fd30-4395-9796-617f5c3b9dd6,Intel updated investors midway through the quarter and said business was proceeding exactly as planned.,"Intel said midway through its quarter, which ended in June, that business was exactly as expected.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",orig
25ca4a7c-09d6-4f19-99d1-78ecb84e920c,Dixon put his style on display Sunday afternoon in winning the Honda Indy 225 at Pikes Peak International Raceway.,Scott Dixon eventually made winning the Honda Indy 225 look easy Sunday at Pikes Peak International Raceway.,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",orig
3c8c9dab-bd1e-4f56-b73e-a36ee481b53b,Whitney said officials evacuated a YMCA camp that had been scheduled to host 250 people beginning Sunday.,Whitney said officials evacuated a camp where 250 people were expected to arrive Sunday.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
c40e31c4-ed19-4203-845f-d948ca4c3466,"A summary of his remarks says: all the group's savings have been lost to raids and arrests, and JI is totally dependent on al-Qa'ida for money.","In addition, Hambali laments, ""all the group's savings have been lost to raids and arrests,"" and ""JI is now totally dependent on al-Qaeda for money.""","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",orig
b25890c2-6ba3-4bf9-ad56-f1ae86f6d74b,"But I would rather be talking about high standards than low standards.""","""I would rather be talking about positive numbers rather than negative.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",orig
7b628df6-f444-40a0-bb18-d63a6f87bab3,Quattrone is accused of obstructing justice by helping to encourage co-workers in an e-mail to destroy files on lucrative investment banking deals.,"Quattrone is accused of attempting to obstruct justice by endorsing that e-mail, which encouraged co-workers to destroy files on profitable investment banking deals.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",orig
fc0049f0-eef4-4d61-ac9e-abbc0d3159ad,"Car volume fell 8 per cent, while light truck sales -- which include vans, pickups and SUVs -- rose 2.7 per cent.","Car volume was down 8 percent, while light truck sales--which include vans, pickups and SUVs--rose 2.7 percent.","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",orig
6e7d96d4-9f58-4b1e-92db-0eb952200328,He said Qantas would also cut capital spending by retiring some aircraft and deferring delivery of some new planes.,It would also further reduce capital expenditure by retiring some aircraft and delaying the delivery of new places.,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
29de3720-488f-40dd-a062-c5dcb423d4cc,"Regional utility Tohoku Electric Power Co Inc said an 825,000-kilowatt (kW) nuclear reactor, the Onagawa No.3 unit near Sendai automatically shut down due to the quake.","Japan's Tohoku Electric Power Co Inc said an 825,000-kilowatt (kW) nuclear reactor, the Onagawa No.3 unit in northern Japan, automatically shut down due to the quake.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",orig
d1940ee4-d777-4d81-a721-b91c045b231b,"Today in the US, the book - kept under wraps by its publishers, G. P. Putnam's Sons, since its inception - will appear in bookstores.","Tomorrow the book, kept under wraps by G. P. Putnam's Sons since its inception, will appear in bookstores.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0]",orig
29b237b2-86de-428f-ab2e-2445001845f6,"The S3C2440 CPU supports major operating systems including Microsoft Windows CE/Pocket PC, Palm OS, Symbian, and Linux.","It supports the Windows CE, Palm, Symbian, and Linux operating systems.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
979092ab-1a89-4c27-8cbd-cb801c7664c2,"Daughter Renee Jackson said she often made ""huge pots of, like, beans and rice with, like, meat and casseroles"" for the whole family.","Their biological daughter Renee Jackson, 29, said she made huge pots of beans and rice, and meat and casseroles.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",orig
0236e48a-01e3-4333-85c6-28dede0843f2,The charges were dismissed in Franklin County Municipal Court.,Franklin County Municipal Court Judge Janet Grubb approved dismissal of the charges.,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
3ef718ec-3de2-4d31-bb71-6f777cec19a7,"Evacuation went smoothly, although passengers weren't told what was going on, Hunt said.","Passengers were evacuated smoothly, although they were not told what was going on, he said.","[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",orig
a9e50bfe-fead-487a-974c-c90d5e222ff4,"They said they had concluded that the film failed ""to present a balanced portrayal"" of the Reagans.","CBS said the show ""does not present a balanced portrayal of the Reagans for CBS and its audience.","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",orig
9e261ecc-4b6f-4322-a4aa-b56859373c9c,Romanian port authorities said two ships that sank during World War II had resurfaced as water levels fell and could block river traffic.,Port authorities in Romania said two ships that sank during World War II but resurfaced due to low water levels could block river traffic.,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",orig
99ec5db2-b025-44eb-aa52-529474149d51,"Stanford bested a 144-player field that included former winners Sorenstam and Juli Inkster, as well as 13-year-old phenom Michelle Wie.","She did — and then some, besting a 144-player field that included former winners Sorenstam and Juli Inkster, as well as Wie.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",orig
d93f3be8-bc5a-4164-9737-7150fe3c0fa5,"Patients' rights advocates crashed it by squeezing into camera range, protesting the FMA's acceptance of major financial support from First Professionals Insurance.","It was crashed by patients' rights advocates who squeezed into camera range, protesting the FMA's acceptance of major financial support from First Professionals Insurance.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",orig
169ecc5c-1fb2-4126-b9f5-4a785f2649f4,"The GPO previously closed bookstores in San Francisco, Boston, Philadelphia, Chicago, Birmingham, Cleveland, and Columbus.","Since 2001, the agency has closed bookstores in San Francisco, Boston, Philadelphia, Chicago, Birmingham, Ala., Cleveland, Columbus, Ohio, and Washington.","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",orig
cf0a35fd-6a23-4644-ba28-a3012eebccd6,The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.,A Cuban architect was sentenced to 20 years in prison Friday for using two fake grenades to hijack a passenger plane from Cuba to Florida in April.,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",orig
33f01b4f-c050-4c94-8142-4b3a22f309ad,The Federal Open Market Committee meeting gets under way on Tuesday with a monetary policy decision due on Wednesday.,The Federal Open Market Committee will end its two-day policy-setting meeting and announce its decision on Wednesday.,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",orig
71caaad0-aeba-40be-8e74-06e7373b484b,"""If we don't march into Tehran, I think we will be in pretty good shape,"" he said.","""As long as we don't march on Tehran, I think we are going to be in pretty good shape,"" he said.","[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",orig
1f903fad-140c-4577-8a56-32c5340ac6cd,The airline said the results showed that its recovery programme and other initiatives were helping to offset a continued deterioration in revenues.,It said today’s results showed that programme and other measures were helping to offset a continued deterioration in revenues.,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
6e8c121c-7bbc-460f-b3e7-6ba4e708d5d5,"This change in attitude gave upscale purveyors including Neiman Marcus, the parent of Bergdorf Goodman; and Nordstrom strong sales gains in May.","This change in attitude gave upscale purveyors including Neiman Marcus Group Inc. and Nordstrom Inc., along with some boutique retailers, strong sales gains in May.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
f2bc5b1b-95e4-444f-b657-16dd1ee44ce1,"If Fortigel, a testosterone gel, had been approved, Cellegy would have reached profitability by the second half of 2004, Mr. Juelis said.","If Fortigel had been approved, Cellegy would have reached profitability by the second half of 2004, said Richard Juelis, chief financial officer.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",orig
bfd40b94-078b-4fdb-8fb7-de8ac601701e,"The New York Democrat and former first lady has said she will not run for the White House in 2004, but has not ruled out a race in later years.",The former first lady has said she will not run for the White House in 2004 but has not ruled out a race later on.,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",orig
c0054478-0215-43fc-b5e6-e65c5981fb2b,The AFL-CIO is waiting until October to decide if it will endorse a candidate.,The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
9795c616-3a21-4029-be8d-9b16290df0dc,"But in Palestine, her rural neighbourhood 225 miles west of Washington, residents had nothing but praise for Pte Lynch.","In Palestine, a rural neighborhood 225 miles west of Washington, residents had effusive praise for Lynch.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",orig
3535095c-ef9a-4979-8d4e-4a7f4db71c28,The study indicated that men who ejaculated more than five times a week were a third less likely to develop prostate cancer.,Those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life.,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
5c1b31a3-baa8-4bc4-bdf2-be09c9675ce3,"Hundreds of soldiers took part in the early morning raid, an apparent signal to Hamas that Israel would not limit itself to airstrikes in Gaza.","Hundreds of soldiers were involved, an apparent signal to Hamas that Israel would not limit itself to air strikes in Gaza.","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
48e19454-1828-451e-a631-305abd575efa,"""We disagree with the judge's decision on notice for Engine Company 261,"" said a statement by Michael A. Cardozo, the city's corporation counsel.","He added that: ""We disagree with the judge's decision on notice for Engine Company 261.""","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",orig
ea6ccc78-acf5-451a-ae93-d6fbb0889efd,"Subway and bus fares rose 33 percent, from $1.50 to $2, on May 4, while tickets on suburban trains rose an average 25 percent May 1.","Subway and bus fares rose 33 percent, from $1.50 to $2, on May 4, while average 25 percent increases took effect May 1 on suburban trains.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",orig
925e4b22-33ea-4edd-af1a-76ce81a117c8,Video replays suggested the ball had hit the ground before making contact with Sangakkara's foot.,"Television replays, though, showed the ball had touched the ground before Sangakkara's boot (262 for 4).","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
220ea5dc-4379-4b06-bcdf-400926682754,"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",orig
9418fdb1-b0f7-4f82-ad18-b15ea88aeb1a,"Other members of the organization are believed to be in Pakistani cities, and many of the arrests of key al-Qaida operatives have taken place in those areas.","Other members of the organization are believed to be in Pakistani cities, where many of the arrests of key Al Qaeda operatives have taken place.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",orig
f0696db0-6153-4775-87e3-dad6ffa59f3d,"""The mission of the CAPPS II system has been and always will be aviation security,"" said the administration, part of the Homeland Security Department.","""The mission of the CAPPS II system has been and always will be aviation security,"" they said.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",orig
a52f5611-ad86-4306-84cf-c2ed949e64b3,"The companies uniformly declined to give specific numbers on customer turnover, saying they will release those figures only when they report overall company performance at year-end.","The companies, however, declined to give specifics on customer turnover, saying they would release figures only when they report their overall company performance.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
c6d9df69-3cbd-4c95-b789-fb6dc3155804,"On Sunday August 3, the House of Deputies voted nearly 2-1 in favor of the Reverend Gene Robinson of New Hampshire.","On Tuesday in Minneapolis, the House of Bishops gave final approval on a 62-43 vote for the Rev. V. Gene Robinson of New Hampshire to become bishop.","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",orig
699dad31-1c0d-4f79-9f2c-00d0d0fbe317,It marked the fourth straight week and the ninth time this year that rates on this benchmark mortgage fell to an all-time weekly low.,"Mortgage rates around the country fell again this week, the ninth time this year rates have hit an all-time low.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",orig
9d1abbfe-536a-4cf5-b8b4-d72d910ad229,"Mr. Soros branded Mr. Snow's policy shift a ""mistake.""","Soros criticised Snow's policy shift as a ""mistake"".","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",orig
e7ecdf1c-30cb-4094-a074-8db0ffad9df6,The letter stated that a premature stillborn baby was placed on the bed in a blanket.,"According to the writer of the letter, the infant was ""placed on the bed in a baby blanket"" by a nurse.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",orig
811d360a-82b0-4dd6-8ac9-4bba8ebdc7dd,"""We have found the smoking gun,"" board member Scott Hubbard said.","""We have found the smoking gun,"" said Hubbard, director of NASA's Ames Research Center in California.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",orig
